Date,Open,High,Low,Close,Adj Close,Volume
2023-11-17,3575.000000,3610.000000,3490.000000,3565.000000,3565.000000,1063600
2023-11-20,3560.000000,3765.000000,3560.000000,3745.000000,3745.000000,1942600
2023-11-21,3800.000000,3845.000000,3710.000000,3845.000000,3845.000000,1284500
2023-11-22,3795.000000,3795.000000,3675.000000,3690.000000,3690.000000,1360100
2023-11-24,3725.000000,3820.000000,3700.000000,3720.000000,3720.000000,1040300
2023-11-27,3750.000000,3760.000000,3655.000000,3675.000000,3675.000000,748900
2023-11-28,3650.000000,3675.000000,3600.000000,3635.000000,3635.000000,761300
2023-11-29,3655.000000,3780.000000,3650.000000,3725.000000,3725.000000,1335700
2023-11-30,3830.000000,3865.000000,3770.000000,3850.000000,3850.000000,2194400
2023-12-01,3880.000000,3885.000000,3755.000000,3775.000000,3775.000000,1136300
2023-12-04,3805.000000,3860.000000,3730.000000,3835.000000,3835.000000,1109200
2023-12-05,3800.000000,3800.000000,3705.000000,3710.000000,3710.000000,1066400
2023-12-06,3745.000000,3900.000000,3735.000000,3880.000000,3880.000000,1448100
2023-12-07,3860.000000,3895.000000,3800.000000,3845.000000,3845.000000,923000
2023-12-08,3870.000000,3955.000000,3820.000000,3850.000000,3850.000000,1509700
2023-12-11,3865.000000,3950.000000,3835.000000,3855.000000,3855.000000,1485600
2023-12-12,3855.000000,3855.000000,3620.000000,3700.000000,3700.000000,2290600
2023-12-13,3560.000000,3685.000000,3550.000000,3670.000000,3670.000000,1518500
2023-12-14,3730.000000,3790.000000,3625.000000,3670.000000,3670.000000,2358800
2023-12-15,3190.000000,3390.000000,3115.000000,3170.000000,3170.000000,7976300
2023-12-18,3190.000000,3200.000000,3050.000000,3055.000000,3055.000000,1988200
2023-12-19,3125.000000,3310.000000,3085.000000,3260.000000,3260.000000,4089600
2023-12-20,3265.000000,3385.000000,3260.000000,3295.000000,3295.000000,2056000
2023-12-21,3250.000000,3335.000000,3235.000000,3310.000000,3310.000000,1242200
2023-12-22,3315.000000,3350.000000,3270.000000,3270.000000,3270.000000,874800
2023-12-25,3275.000000,3315.000000,3185.000000,3205.000000,3205.000000,943600
2023-12-26,3180.000000,3210.000000,3125.000000,3180.000000,3180.000000,789900
2023-12-27,3165.000000,3195.000000,3125.000000,3135.000000,3135.000000,891900
2023-12-28,3125.000000,3165.000000,3090.000000,3150.000000,3150.000000,731400
2023-12-29,3115.000000,3140.000000,3090.000000,3110.000000,3110.000000,834600
2024-01-04,3080.000000,3270.000000,3070.000000,3260.000000,3260.000000,1270600
2024-01-05,3260.000000,3270.000000,3125.000000,3130.000000,3130.000000,1367400
2024-01-09,3175.000000,3195.000000,3120.000000,3190.000000,3190.000000,1118300
2024-01-10,3235.000000,3245.000000,3175.000000,3210.000000,3210.000000,815500
2024-01-11,3350.000000,3445.000000,3305.000000,3400.000000,3400.000000,3160900
2024-01-12,3505.000000,3545.000000,3365.000000,3395.000000,3395.000000,2145300
2024-01-15,3395.000000,3410.000000,3330.000000,3350.000000,3350.000000,330300
2024-01-16,3340.000000,3390.000000,3230.000000,3230.000000,3230.000000,1166100
2024-01-17,3220.000000,3235.000000,3165.000000,3185.000000,3185.000000,1282500
2024-01-18,3170.000000,3270.000000,3165.000000,3245.000000,3245.000000,1102900
2024-01-19,3255.000000,3335.000000,3245.000000,3335.000000,3335.000000,1031000
2024-01-22,3405.000000,3520.000000,3345.000000,3520.000000,3520.000000,1887100
2024-01-23,3590.000000,3600.000000,3460.000000,3505.000000,3505.000000,1339700
2024-01-24,3510.000000,3645.000000,3500.000000,3640.000000,3640.000000,1574400
2024-01-25,3710.000000,3800.000000,3660.000000,3775.000000,3775.000000,1794000
2024-01-26,3740.000000,3795.000000,3675.000000,3770.000000,3770.000000,1311400
2024-01-29,3800.000000,3835.000000,3720.000000,3785.000000,3785.000000,1449100
2024-01-30,3805.000000,3830.000000,3675.000000,3705.000000,3705.000000,3100300
2024-01-31,3675.000000,3785.000000,3655.000000,3785.000000,3785.000000,925700
2024-02-01,3735.000000,3785.000000,3700.000000,3755.000000,3755.000000,814200
2024-02-02,3780.000000,3805.000000,3715.000000,3750.000000,3750.000000,787800
2024-02-05,3710.000000,3850.000000,3680.000000,3820.000000,3820.000000,913400
2024-02-06,3800.000000,3800.000000,3615.000000,3615.000000,3615.000000,1544700
2024-02-07,3580.000000,3590.000000,3325.000000,3380.000000,3380.000000,2715300
2024-02-08,3405.000000,3460.000000,3360.000000,3365.000000,3365.000000,1402000
2024-02-09,3400.000000,3400.000000,3285.000000,3330.000000,3330.000000,1360600
2024-02-13,3340.000000,3340.000000,3180.000000,3195.000000,3195.000000,1507800
2024-02-14,3115.000000,3215.000000,3085.000000,3130.000000,3130.000000,1763200
2024-02-15,3145.000000,3150.000000,3070.000000,3085.000000,3085.000000,1375700
2024-02-16,3120.000000,3175.000000,3090.000000,3150.000000,3150.000000,1164300
2024-02-19,3190.000000,3245.000000,3130.000000,3150.000000,3150.000000,1254400
2024-02-20,3150.000000,3150.000000,3100.000000,3110.000000,3110.000000,957700
2024-02-21,3110.000000,3135.000000,3065.000000,3110.000000,3110.000000,957000
2024-02-22,3155.000000,3180.000000,3025.000000,3040.000000,3040.000000,1226500
2024-02-26,3045.000000,3095.000000,3010.000000,3070.000000,3070.000000,842600
2024-02-27,3095.000000,3115.000000,3050.000000,3085.000000,3085.000000,779100
2024-02-28,3105.000000,3155.000000,3085.000000,3105.000000,3105.000000,807000
2024-02-29,3100.000000,3270.000000,3050.000000,3250.000000,3250.000000,1676800
2024-03-01,3270.000000,3270.000000,3170.000000,3190.000000,3190.000000,1073400
2024-03-04,3180.000000,3180.000000,3085.000000,3110.000000,3110.000000,1092700
2024-03-05,3050.000000,3130.000000,3025.000000,3095.000000,3095.000000,1156300
2024-03-06,3120.000000,3260.000000,3105.000000,3220.000000,3220.000000,1552300
2024-03-07,3255.000000,3310.000000,3180.000000,3280.000000,3280.000000,1537400
2024-03-08,3290.000000,3395.000000,3265.000000,3340.000000,3340.000000,1082000
2024-03-11,3285.000000,3325.000000,3210.000000,3240.000000,3240.000000,921500
2024-03-12,3240.000000,3350.000000,3235.000000,3345.000000,3345.000000,947400
2024-03-13,3345.000000,3350.000000,3140.000000,3165.000000,3165.000000,1634300
2024-03-14,3105.000000,3175.000000,3070.000000,3140.000000,3140.000000,1342200
2024-03-15,2440.000000,2546.000000,2440.000000,2451.000000,2451.000000,12170000
2024-03-18,2594.000000,2594.000000,2594.000000,2594.000000,2594.000000,110800
2024-03-19,2571.000000,2754.000000,2566.000000,2630.000000,2630.000000,3677500
2024-03-21,2694.000000,2757.000000,2666.000000,2700.000000,2700.000000,1812400
2024-03-22,2680.000000,2710.000000,2645.000000,2702.000000,2702.000000,1263000
2024-03-25,2705.000000,2715.000000,2635.000000,2650.000000,2650.000000,803500
2024-03-26,2630.000000,2635.000000,2559.000000,2561.000000,2561.000000,849900
2024-03-27,2560.000000,2623.000000,2512.000000,2578.000000,2578.000000,720400
2024-03-28,2588.000000,2625.000000,2553.000000,2594.000000,2594.000000,637300
2024-03-29,2622.000000,2622.000000,2540.000000,2582.000000,2582.000000,415400
2024-04-01,2559.000000,2575.000000,2508.000000,2510.000000,2510.000000,596600
2024-04-02,2501.000000,2505.000000,2415.000000,2427.000000,2427.000000,906000
2024-04-03,2398.000000,2457.000000,2348.000000,2385.000000,2385.000000,805500
2024-04-04,2407.000000,2505.000000,2407.000000,2474.000000,2474.000000,725900
2024-04-05,2440.000000,2490.000000,2414.000000,2484.000000,2484.000000,745800
2024-04-08,2510.000000,2567.000000,2502.000000,2547.000000,2547.000000,911800
2024-04-09,2515.000000,2549.000000,2463.000000,2470.000000,2470.000000,665500
2024-04-10,2450.000000,2518.000000,2441.000000,2497.000000,2497.000000,559500
2024-04-11,2498.000000,2519.000000,2427.000000,2427.000000,2427.000000,532700
2024-04-12,2402.000000,2444.000000,2323.000000,2323.000000,2323.000000,975900
2024-04-15,2298.000000,2327.000000,2255.000000,2312.000000,2312.000000,639500
2024-04-16,2284.000000,2336.000000,2259.000000,2295.000000,2295.000000,577900
2024-04-17,2294.000000,2340.000000,2252.000000,2314.000000,2314.000000,606100
2024-04-18,2274.000000,2397.000000,2254.000000,2354.000000,2354.000000,795000
2024-04-19,2355.000000,2367.000000,2270.000000,2290.000000,2290.000000,590900
2024-04-22,2290.000000,2290.000000,2188.000000,2226.000000,2226.000000,860100
2024-04-23,2226.000000,2262.000000,2156.000000,2192.000000,2192.000000,804500
2024-04-24,2208.000000,2232.000000,2170.000000,2182.000000,2182.000000,510100
2024-04-25,2178.000000,2201.000000,2147.000000,2169.000000,2169.000000,633900
2024-04-26,2147.000000,2206.000000,2126.000000,2185.000000,2185.000000,1127100
2024-04-30,2182.000000,2207.000000,2140.000000,2195.000000,2195.000000,657000
2024-05-01,2243.000000,2295.000000,2216.000000,2267.000000,2267.000000,760400
2024-05-02,2230.000000,2230.000000,2175.000000,2214.000000,2214.000000,610600
2024-05-07,2200.000000,2266.000000,2179.000000,2244.000000,2244.000000,484500
2024-05-08,2321.000000,2367.000000,2289.000000,2319.000000,2319.000000,965800
2024-05-09,2325.000000,2333.000000,2283.000000,2305.000000,2305.000000,463300
2024-05-10,2322.000000,2344.000000,2277.000000,2326.000000,2326.000000,510700
2024-05-13,2315.000000,2335.000000,2256.000000,2318.000000,2318.000000,434600
2024-05-14,2380.000000,2445.000000,2358.000000,2365.000000,2365.000000,861000
2024-05-15,2356.000000,2359.000000,2230.000000,2230.000000,2230.000000,721600
2024-05-16,2238.000000,2265.000000,2198.000000,2235.000000,2235.000000,502200
2024-05-17,2209.000000,2273.000000,2198.000000,2260.000000,2260.000000,356800
2024-05-20,2239.000000,2334.000000,2237.000000,2292.000000,2292.000000,506600
2024-05-21,2292.000000,2315.000000,2250.000000,2250.000000,2250.000000,321500
2024-05-22,2234.000000,2265.000000,2218.000000,2227.000000,2227.000000,285500
2024-05-23,2231.000000,2257.000000,2216.000000,2228.000000,2228.000000,252100
2024-05-24,2218.000000,2224.000000,2120.000000,2136.000000,2136.000000,615600
